Standard:, axo_std.mca0,,,,,,,,,,,,,,,,,,,,,,
realtime[s]:,121.911,121.911,,,,,,,,,,,,,,,,,,,,,
livetime[s]:,119.804,119.804,,,,,,,,,,,,,,,,,,,,,
I_[mA]:,101.966,,,,,,,,,,,,,,,,,,,,,,
US_IC[cts/s]:,"	231435.0",,,,,,,,,,,,,,,,,,,,,,
DS_IC[cts/s]:,"	189396.0",,,,,,,,,,,,,,,,,,,,,,
US_AMP[sensitivity/units/factor]:,100, nA/V,1,,,,,,,,,,,,,,,,,,,,
DS_AMP[sensitivity/units/factor]:,5, nA/V,50,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,
name , z, units[DS_IC], units[US_IC], units[SRCurrent], units[1], use, calib, center, shift, width, bkground_left, bkground_right, left_roi[0], right_roi[0], left_bkground[0], right_bkground[0], absorption_1um_element, Be_window_transmission, Ge_dead_layer_transmission, XRF_yield, fraction_photons_absorbed_in_det, air_absoprtion, total_XRF_efficiency_factor
Kr,36, ug/cm^2, ug/cm^2, ug/cm^2, cts/s,0,1,12.649,0,213,53,53,0,0,0,0,0.000441601,0.999102033,1,0.651653076,0.722836068,1,0.232883076
Rb,37, ug/cm^2, ug/cm^2, ug/cm^2, cts/s,0,1,13.393,0,219,54,54,0,0,0,0,0.000485091,0.999256194,1,0.674353899,0.661037869,1,0.24213397
Sr,38, ug/cm^2, ug/cm^2, ug/cm^2, cts/s,0,1,14.163,0,226,56,56,0,0,0,0,0.000548333,0.999381555,1,0.69561587,0.599537722,1,0.256096134
Y,39, ug/cm^2, ug/cm^2, ug/cm^2, cts/s,0,1,14.955,0,233,58,58,0,0,0,0,0.00059782,0.99948342,1,0.715478015,0.540303946,1,0.258834319
Zr,40, ug/cm^2, ug/cm^2, ug/cm^2, cts/s,0,1,15.776,0,241,60,60,0,0,0,0,0.000650859,0.999567264,1,0.733991729,0.483989607,1,0.258980679
Nb,41, ug/cm^2, ug/cm^2, ug/cm^2, cts/s,0,1,16.617,0,249,62,62,0,0,0,0,0.000700248,0.999635787,1,0.75121721,0.431946748,1,0.25452517
Mo,42, ug/cm^2, ug/cm^2, ug/cm^2, cts/s,0,1,17.481,0,257,64,64,0,0,0,0,0.000745683,0.99969227,1,0.767220448,0.384295067,1,0.246290254
Tc,43, ug/cm^2, ug/cm^2, ug/cm^2, cts/s,0,1,18.368,0,266,66,66,0,0,0,0,0.000796072,0.999739019,1,0.782070745,0.341114638,1,0.237917829
Ru,44, ug/cm^2, ug/cm^2, ug/cm^2, cts/s,0,1,19.282,0,275,68,68,0,0,0,0,0.000841165,0.999778022,1,0.795838719,0.302132414,1,0.226594233
Rh,45, ug/cm^2, ug/cm^2, ug/cm^2, cts/s,0,1,20.217,0,285,71,71,0,0,0,0,0.000924023,0.999810455,1,0.80859476,0.2673899,1,0.223829753
